2007 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Event:13745 Phase:FinalResults Generated:2008-09-03T12:43:44 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,102,Fraser,32950,Prison Mobile Team 1,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,2,-11.43
ACT,102,Fraser,32950,Prison Mobile Team 1,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,5,11.43
ACT,102,Fraser,8833,Reid,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,235,1.45
ACT,102,Fraser,8833,Reid,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,429,-1.45
ACT,102,Fraser,8834,Scullin,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,615,-0.9
ACT,102,Fraser,8834,Scullin,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1232,0.9
ACT,102,Fraser,32467,Special Hospital Team 1,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,26,-8.28
ACT,102,Fraser,32467,Special Hospital Team 1,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,32,8.28
ACT,102,Fraser,32468,Special Hospital Team 2,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,54,-1.31
ACT,102,Fraser,32468,Special Hospital Team 2,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,50,1.31
ACT,102,Fraser,8836,Turner,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,467,2.31
ACT,102,Fraser,8836,Turner,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1582,-2.31
ACT,102,Fraser,8837,Watson,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,853,-1.74
ACT,102,Fraser,8837,Watson,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,2206,1.74
ACT,102,Fraser,8838,Weetangera,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,841,-3.26
ACT,102,Fraser,8838,Weetangera,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1546,3.26
ACT,102,Fraser,8839,Wreck Bay,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,3,-3.06
ACT,102,Fraser,8839,Wreck Bay,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,69,3.06
NSW,103,Banks,31455,Bankstown (Banks),17949,MORROW,Bruce,3,N,N,LP,Liberal,536,-2.03
NSW,103,Banks,31455,Bankstown (Banks),18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,1701,2.03
NSW,103,Banks,155,Bankstown Central (Banks),17949,MORROW,Bruce,3,N,N,LP,Liberal,287,-4.61
NSW,103,Banks,155,Bankstown Central (Banks),18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,921,4.61
NSW,103,Banks,158,Bankstown South,17949,MORROW,Bruce,3,N,N,LP,Liberal,451,-5.34
NSW,103,Banks,158,Bankstown South,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,1156,5.34
NSW,103,Banks,43614,Bankstown West (Banks),17949,MORROW,Bruce,3,N,N,LP,Liberal,110,-8.05
NSW,103,Banks,43614,Bankstown West (Banks),18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,292,8.05
NSW,103,Banks,167,Condell Park,17949,MORROW,Bruce,3,N,N,LP,Liberal,1241,-4.03
NSW,103,Banks,167,Condell Park,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,2290,4.03
NSW,103,Banks,33117,Condell Park North,17949,MORROW,Bruce,3,N,N,LP,Liberal,288,-0.12
NSW,103,Banks,33117,Condell Park North,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,480,0.12
NSW,103,Banks,168,Condell Park South,17949,MORROW,Bruce,3,N,N,LP,Liberal,581,1.2
NSW,103,Banks,168,Condell Park South,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,1439,-1.2
NSW,103,Banks,2,East Hills,17949,MORROW,Bruce,3,N,N,LP,Liberal,517,-6.75
NSW,103,Banks,2,East Hills,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,669,6.75
NSW,103,Banks,43600,Hannans Road (Banks),17949,MORROW,Bruce,3,N,N,LP,Liberal,280,-9.02
NSW,103,Banks,43600,Hannans Road (Banks),18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,697,9.02
NSW,103,Banks,4,Lugarno,17949,MORROW,Bruce,3,N,N,LP,Liberal,1734,-5.5
NSW,103,Banks,4,Lugarno,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,1195,5.5
NSW,103,Banks,174,Milperra,17949,MORROW,Bruce,3,N,N,LP,Liberal,1108,-7.21
NSW,103,Banks,174,Milperra,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,1132,7.21
